mascarpone	0
750	2
g	4
	
uova	0
freschissime	6
,	14
circa	14
5	12
medie	13
)	14
260	2
g	4
	
savoiardi	0
al	1
cioccolato	1
250	2
g	4
(	14
in	14
alternativa	14
10	12
g	13
di	13
biscotti	13
)	14
	
zucchero	0
120	2
g	4
	
caffè	0
(	14
della	6
moka	7
,	14
zuccherato	6
a	7
piacere	7
)	14
300	2
g	4
	
cacao	0
amaro	1
in	6
polvere	7
q.b.	2
	
farina	0
00	1
125	2
g	4
(	14
3	12
cucchiai	13
)	14
	
latte	0
intero	2
(	14
fresco	6
)	14
200	2
g	4
	
burro 	0
25	2
g	4
o	14
olio	12
d	13
'	13
oliva	13
10	13
ml	13
	
zucchero	0
15	2
g	4
	
uova	0
(	14
medie	6
)	14
2	4
(	14
150	12
g	13
)	14
)	14
	
lievito	0
in	6
polvere	7
per	6
dolci	7
6	2
g	4
	
sale	0
fino	1
1	2
pizzico	4
	
sciroppo	0
di	1
acero	1
q.b.	2
	
farina	0
manitoba	1
200	2
g	4
	
farina	0
00	1
300	2
g	4
	
acqua	0
a	6
temperatura	7
ambiente	7
300	2
ml	4
	
sale	0
fino	1
10	2
g	4
	
lievito	0
di	1
birra	1
fresco	1
(	14
oppure	14
1,5	12
se	13
secco	13
)	14
4	2
g	4
	
biscotti	0
digestive	1
360	2
g	4
	
burro	0
180	2
g	4
	
sale	0
fino	1
1	2
pizzico	4
	
formaggio	0
fresco	6
spalmabile	6
(	14
a	6
temperatura	7
ambiente	7
)	14
1,25	2
kg	4
	
panna	0
acida	1
(	14
a	6
temperatura	7
ambiente	7
)	14
120	2
g	4
	
zucchero	0
290	2
g	4
	
uova	0
(	14
medie	6
,	14
a	6
temperatura	7
ambiente	7
)	14
4	2
	
amido	0
di	1
mais	1
(	14
maizena	6
)	14
20	2
g	4
	
estratto	0
di	1
vaniglia	1
2	2
cucchiaini	4
	
scorza	8
di	14
limone	0
1	2
	
succo	8
di	14
limone	0
1	2
cucchiaio	4
	
more	0
o	14
altri	14
frutti	12
di	13
bosco	13
100	2
	
mirtilli	0
100	2
g	4
	
lamponi	0
100	2
g	4
	
zucchero	0
50	2
g	4
	
amido	0
di	1
mais	1
(	14
maizena	6
